datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2023-05-30 07:51:08,194600,1.0283808708190918,0.3336333632469177,0.001,990000,63399219
2023-05-30 07:51:17,194800,1.0270123481750488,0.34036731719970703,0.001,990000,63399219
2023-05-30 07:51:27,195000,1.111095666885376,0.3852007985115051,0.001,990000,63399219
2023-05-30 08:01:57,195200,1.0385936498641968,0.4126654267311096,0.001,995000,63652768
2023-05-30 08:02:07,195400,1.0948679447174072,0.40997767448425293,0.001,995000,63652768
2023-05-30 08:02:16,195600,1.0403587818145752,0.3973432779312134,0.001,995000,63652768
2023-05-30 08:02:26,195800,1.0591098070144653,0.4136497676372528,0.001,995000,63652768
2023-05-30 08:02:35,196000,1.1349434852600098,0.35272160172462463,0.001,995000,63652768
2023-05-30 08:13:11,196200,1.197624683380127,0.38782835006713867,0.001,1000000,63905318
2023-05-30 08:13:21,196400,1.049617052078247,0.3800821304321289,0.001,1000000,63905318
2023-05-30 08:13:30,196600,0.993389368057251,0.36835500597953796,0.001,1000000,63905318
2023-05-30 08:13:40,196800,1.1973276138305664,0.41673776507377625,0.001,1000000,63905318
2023-05-30 08:13:49,197000,1.0829817056655884,0.4208012521266937,0.001,1000000,63905318
2023-05-30 08:24:26,197200,1.0181677341461182,0.3531929850578308,0.001,1005000,64160176
2023-05-30 08:24:36,197400,1.118584156036377,0.3988075256347656,0.001,1005000,64160176
2023-05-30 08:24:45,197600,1.1302766799926758,0.3778079152107239,0.001,1005000,64160176
2023-05-30 08:24:54,197800,1.1009435653686523,0.3773709535598755,0.001,1005000,64160176
2023-05-30 08:25:04,198000,1.12444269657135,0.3663701117038727,0.001,1005000,64160176
2023-05-30 08:35:35,198200,1.2842248678207397,0.353241503238678,0.001,1010000,64413319
2023-05-30 08:35:45,198400,1.0741543769836426,0.39911773800849915,0.001,1010000,64413319
2023-05-30 08:35:54,198600,1.1480962038040161,0.3996393084526062,0.001,1010000,64413319
2023-05-30 08:36:04,198800,0.964834451675415,0.34645795822143555,0.001,1010000,64413319
2023-05-30 08:36:14,199000,1.1374478340148926,0.3733460605144501,0.001,1010000,64413319
2023-05-30 08:46:39,199200,1.017568588256836,0.4076964855194092,0.001,1015000,64663819
2023-05-30 08:46:49,199400,0.9641499519348145,0.3843393325805664,0.001,1015000,64663819
2023-05-30 08:46:59,199600,1.0130847692489624,0.3532112240791321,0.001,1015000,64663819
2023-05-30 08:47:08,199800,1.0292335748672485,0.4009375274181366,0.001,1015000,64663819
2023-05-30 08:47:18,200000,1.1290051937103271,0.40823277831077576,0.0001,1015000,64663819
